sent_id,sentence,entities
1,"1900s
1901
January 1 : The Australian colonies federate .
",['Australian']
2,"January 22 : Edward VII became King of England and India after Queen Victoria 's death.
",['India']
3,"March 2 : The Platt Amendment provides for Cuban independence in exchange for the withdrawal of American troops.
","['Cuban', 'American']"
4,"June : Emily Hobhouse reports on the poor conditions in 45 British internment camps for Boer women and children in South Africa .
September 6 : The assassination of William McKinley ushered in office Vice President Theodore Roosevelt after McKinley's death on September 14.
September 7 : The Eight-Nation Alliance defeats the Boxer Rebellion , and imposes heavy financial penalties on China .
","['McKinley', 'China', 'British', 'South Africa']"
8,"May 20 : Cuba given independence by the United States.
","['Cuba', 'the United States']"
9,"May 31 : Second Boer War ends in British victory.
",['British']
10,"July 12 : Arthur Balfour becomes Prime Minister of the United Kingdom .
",['the United Kingdom']
12,"Venezuelan crisis of 1902–1903 , in which Britain, Germany and Italy impose a naval blockade on Venezuela in order to enforce collection of outstanding financial claims.
","['Venezuela', 'Britain', 'Venezuelan', 'Italy', 'Germany']"
13,"1903
February 15 : The first teddy bear is invented.
June 11 : King Alexander I of Serbia and his wife Queen Draga are assassinated in a military coup .
July 1 : The first Tour de France is held.
July – August :",['Serbia']
14,"In Russia the Bolsheviks and the Mensheviks form from the breakup of the Russian Social Democratic Labour Party .
August 4 : Pius X becomes Pope .
November 18 : Independence of Panama , the Hay–Bunau-Varilla Treaty is signed by the United States and Panama .
","['Russia', 'Panama', 'Bolsheviks', 'the United States', 'Mensheviks']"
16,"The Ottoman Empire and the German Empire sign an agreement to build the Berlin–Baghdad railway .
","['German', 'The Ottoman Empire', 'Baghdad', 'Berlin']"
17,"1904
February 8 : A Japanese surprise attack on Port Arthur (Lushun) starts the Russo-Japanese War .
April 8 : Entente Cordiale signed between Britain and France.
","['Lushun', 'Britain', 'France', 'Japanese']"
18,"May : U.S. begins construction of the Panama Canal and eradication of yellow fever .
","['U.S.', 'the Panama Canal']"
20,"Herero and Nama genocide , the first genocide of the 20th century, begins in German South West Africa .
","['German', 'South West Africa', 'Nama']"
21,"Roger Casement publishes his account of Belgian atrocities in the Congo Free State .
",['Belgian']
22,"1905
January 22 : The Revolution of 1905 in Russia erupts.
",['Russia']
23,"March 31 : The First Moroccan Crisis begins, going until April 1906.
June 7 : The Norwegian Parliament declares the union with Sweden dissolved , and Norway achieves full independence.
","['Sweden', 'Norway', 'Norwegian']"
24,"September 5 : The Russo-Japanese War ends in Japanese victory.
September 26 :",['Japanese']
26,"October 16 : The British Indian Province of Bengal , partitioned by the Viceroy of India , Lord Curzon , despite strong opposition.
","['British', 'Bengal']"
27,"December 5 : Liberal Henry Campbell-Bannerman becomes Prime Minister of the United Kingdom.
",['the United Kingdom']
28,"Schlieffen Plan proposed in Berlin to defeat France.
","['France', 'Berlin']"
30,"1906
April 18 : An earthquake in San Francisco, California , magnitude 7.9, kills 3,000.
July 13 : Alfred Dreyfus is exonerated and reinstated as a major in the French Army; the Dreyfus affair ends.
","['San Francisco', 'Dreyfus', 'California']"
31,"August 16 : An earthquake in Valparaíso, Chile , magnitude 8.2, kills 20,000.
","['Valparaíso', 'Chile']"
32,"September 28 : The US begins the Second Occupation of Cuba .
October 23 : Brazilian inventor Alberto Santos-Dumont takes off and flies his 14-bis to a crowd in Paris .
","['US', 'Paris', 'Brazilian']"
33,"December 30 : The Muslim League is formed by Nawab Salimullah Khan of Dacca .
",['Dacca']
34,"The Stolypin reform in Russia creates a new class of affluent kulaks .
",['Russia']
35,"1907
February – April : A peasants' revolt in Romania kills roughly 11,000.
",['Romania']
36,"March 15 – 16 : Elections to the new Parliament of Finland are the first in the world with woman candidates, as well as the first elections in Europe where universal suffrage is applied.
",['Europe']
37,"July 24 : Japan–Korea Treaty of 1907 .
",['Japan']
38,"August 31 : The Anglo-Russian Convention bring an end to the Great Game in Central Asia .
",['Central Asia']
39,"The Indian National Congress splits into two factions at its Surat session, presided by Rash Behari Bose .
",['Surat']
41,"Bakelite , the world's first fully synthetic plastic, invented in New York by Leo Baekeland , who coins the term ""plastics"".
","['New York', 'Leo Baekeland']"
42,"1908
April 8 : Liberal H. H. Asquith becomes Prime Minister of the United Kingdom.
",['the United Kingdom']
43,"May 26 : First commercial Middle Eastern oilfield established, at Masjed Soleyman in southwest Persia .
June 30 : The Tunguska event devastates thousands of square kilometres of Siberia.
July : Young Turk Revolution in the Ottoman Empire.
July 26 : Founding of the Bureau of Investigation (BOI)
October 1 : The Ford Motor Company invents the Model T .
","['Persia', 'Tunguska', 'the Ottoman Empire', 'Siberia', 'Middle Eastern']"
44,"early October : Austria-Hungary annexes Bosnia-Herzegovina , triggering the Bosnian Crisis .
","['Bosnia-Herzegovina', 'Hungary', 'Austria']"
45,"October 5 : Bulgarian Declaration of Independence .
",['Bulgarian']
46,"December 2 : Puyi , the last Emperor of China , assumes the throne.
",['China']
47,"December 28 : The 1908 Messina earthquake in southern Italy, magnitude 7.1, kills 70,000 people.
","['Italy', 'Messina']"
48,"Herero and Nama genocide ends.
",['Nama']
51,"1909
March 4 : William Howard Taft is inaugurated as President of the United States; deep divisions in his Republican Party over tariffs.
",['the United States']
53,"March 12 : Indian Councils Act passed.
April 6 : Robert Peary claims to have reached the North Pole though the claim is subsequently heavily contested.
April 13 : A countercoup fails in the Ottoman Empire.
","['the Ottoman Empire', 'the North Pole']"
55,"Japan and China sign the Jiandao/Gando Treaty .
","['Japan', 'China']"
56,"United States troops leave Cuba.
","['Cuba', 'United States']"
58,"May – July : Albanian revolt of 1910 .
",['Albanian']
59,"May 6 : George V becomes King of the United Kingdom and the British Dominions and Emperor of India upon the death of Edward VII .
","['the United Kingdom', 'India']"
61,"August 28 : Kingdom of Montenegro is proclaimed independent.
",['Montenegro']
62,"August 29 : Imperial Japan annexes Korea .
",['Korea']
63,"October 5 : The 5 October 1910 revolution in Portugal and proclamation of the First Portuguese Republic .
",['Portugal']
65,"1911
January 18 : Eugene Burton Ely lands on the deck of the USS Pennsylvania stationed in San Francisco harbor, marking the first time an aircraft lands on a ship.
",['San Francisco']
66,"March 25 : Triangle Shirtwaist Factory fire in New York City results in the deaths of 146 workers and leads to sweeping workplace safety reforms.
April – November : Agadir Crisis .
September 29 : The Italo-Turkish war which led to the capture of Libya by Italy , begins.
October 10 : 1911 Revolution , which overthrew the Qing dynasty of China, begins.
","['Libya', 'Italy', 'China', 'New York City']"
67,"November 3 : Swiss race car driver and automotive engineer Louis Chevrolet co-founds the Chevrolet Motor Company in Detroit with his brother Arthur Chevrolet , William C. Durant and others.
","['Swiss', 'Detroit']"
68,"December 12 : New Delhi becomes the capital of British India .
","['New Delhi', 'India', 'British']"
69,"December 14 : Roald Amundsen first reaches the South Pole .
",['the South Pole']
72,February 12 : End of the Chinese Empire .,['Chinese']
73,"Republic of China established.
",['China']
74,"February 14 : Arizona becomes the last state to be admitted to the continental Union.
",['Arizona']
76,"Captain Scott and his companions die in a blizzard on their way back from the South Pole.
March 30 : Morocco becomes a protectorate of France .
","['Morocco', 'the South Pole', 'France']"
78,"July 30 : Emperor Meiji dies, ending the Meiji era ; his son, the Emperor Taishō , becomes Emperor of Japan .
","['Japan', 'Meiji']"
79,"August 25 : The Kuomintang , the Chinese nationalist party, is founded.
October 8 : The First Balkan War begins.
",['Chinese']
80,"Banana Wars : United States occupation of Nicaragua begins.
","['United States', 'Nicaragua']"
81,"1913
January 23 : In the 1913 Ottoman coup d'état , Ismail Enver comes to power.
February 9 – 19 : Ten Tragic Days in Mexico City .
","['Mexico City', 'Ottoman']"
82,"March 4 : Woodrow Wilson is inaugurated as President of the United States.
",['the United States']
83,"May 29 : Igor Stravinsky 's The Rite of Spring infamously premiers in Paris which causes a riot.
",['Paris']
89,"Yuan Shikai uses military force to dissolve China 's parliament and rules as a dictator.
",['China']
91,"1914
June 28 : Gavrilo Princip assassinates Archduke Franz Ferdinand of Austria in Sarajevo , triggering the start of World War I that day.
","['Sarajevo', 'Austria']"
94,"The Race to the Sea leaves Germany and the Allies entrenched along the Western Front .
","['Germany', 'Sea']"
95,"December 19 : The United Kingdom establishes the Sultanate of Egypt as a protectorate.
","['The United Kingdom', 'Egypt']"
96,"December 25 : The Christmas truce is celebrated by the Germans and the British along the Western Front .
","['Germans', 'British']"
97,"1915
April 22 : Second Battle of Ypres begins, first widespread use of poison gas.
",['Ypres']
98,"April 24 : The deportation of Armenian leaders and notables in Constantinople signals the onset of the Armenian genocide .
",['Armenian']
100,"July 28 : In the Banana Wars , the United States occupation of Haiti begins.
","['Haiti', 'the United States']"
101,"The first large scale use of poison gas by both sides in World War I occurs, first by the Germans at the Battle of Humin-Bolimów on the eastern front, and at the Second Battle of Ypres on the western front, and then by the British at the Battle of Loos .
","['Germans', 'British']"
102,"1916
January 9 : The Allies' Gallipoli campaign ends in failure; heavy losses of Australian troops.
",['Australian']
105,"March 7 : Bayerische Flugzeugwerke, later to become BMW , is founded in Germany.
",['Germany']
106,"April 24 – 30 : Easter Rising in Ireland.
",['Ireland']
107,"April 30 : The first nationwide implementation of daylight saving time in the German Empire and Austria-Hungary .
June – September : Brusilov offensive by Russia.
June 6 : The Warlord Era begins in China after the death of Yuan Shikai .
June 10 : The Arab Revolt begins.
July – November : Battle of the Somme on Western Front; massive casualties.
","['Hungary', 'Russia', 'Austria', 'German', 'Empire', 'China']"
110,"The Pact is agreed upon by both the Congress and the Muslim League at the Indian city of Lucknow .
December 6 : Liberal David Lloyd George becomes Prime Minister of the United Kingdom.
","['the United Kingdom', 'Indian', 'Lucknow']"
111,"December 30 : Grigori Rasputin is assassinated in Russia.
",['Russia']
112,"Market Square , one of the earliest shopping malls, opens in the Chicago metropolitan area.
",['Chicago']
113,"1917
March 8 : Russian Revolution ends the Russian Empire ; beginning of Russian Civil War .
April 6 : USA joins the Entente for the last 17 months of World War I.
May – October : Apparitions of Our Lady of the Rosary in Fátima, Portugal .
June 4 : The first Pulitzer Prizes announced.
July – November :","['Russian', 'the Russian Empire', 'Fátima', 'USA', 'Portugal']"
116,"Battle of Caporetto .
November 1 – 2 : The Third Battle of Gaza ends in British victory.
November 7 ( O.S. October 25 ): October Revolution in the Russian Republic .
November 8 : The Ukrainian–Soviet War begins.
November 26 : The National Hockey League is formed in Montreal, Canada.
December 6 : Independence of Finland .
","['the Russian Republic', 'Soviet War', 'O.S.', 'British', 'Ukrainian', 'Canada', 'Finland', 'Montreal', 'Gaza']"
119,"January 22 : Ukraine declares independence from Russia.
","['Ukraine', 'Russia']"
120,"March 11 : Beginning of the Spanish flu pandemic , which lasts until April 1920 and kills tens of millions.
",['Spanish']
121,"March – July : The German spring offensive .
",['German']
122,"March 25 : Belarus declares independence from Russia.
",['Russia']
123,"March 30 : The Armenian–Azerbaijani War begins.
",['Armenian']
124,"May 28 : Azerbaijan Democratic Republic declared.
July 4 : Mehmed VI becomes the last Sultan of the Ottoman Empire and the last Caliph .
","['Azerbaijan', 'the Ottoman Empire']"
126,"August – November : The Hundred Days Offensive sends Germany into defeat.
October : the State of Slovenes, Croats and Serbs is established.
October 29 : German Revolution begins.
October 30 : The Mutawakkilite Kingdom of Yemen founded.","['Croats', 'The Mutawakkilite Kingdom of Yemen', 'German Revolution', 'Serbs', 'Germany']"
127,"The Partition of the Ottoman Empire begins.
",['Ottoman']
128,"The Mutawakkilite Kingdom of Yemen founded.
",['The Mutawakkilite Kingdom of Yemen']
129,"The Partition of the Ottoman Empire begins.
November 1 : Independence declared in the West Ukrainian People's Republic .",['West Ukrainian']
130,"The Polish–Ukrainian War begins.
",['Polish']
131,"Independence declared in the West Ukrainian People's Republic .
",['West Ukrainian']
132,"The Polish–Ukrainian War begins.
November 9 : Abdication of Wilhelm II .
",['Polish']
134,"Poland declares independence from Russia.
","['Russia', 'Poland']"
136,"Poland declares independence from Russia.
","['Russia', 'Poland']"
137,"December 1 : The Kingdom of Iceland , a personal union with Denmark, is formed.
","['The Kingdom of Iceland', 'Denmark']"
138,"The British occupy Palestine .
","['British', 'Palestine']"
139,"1919
Paris Peace Conference writes Treaty of Versailles that punishes Germany.
","['Germany', 'Paris']"
140,January 21 : The First Red Scare in the United States.,['the United States']
142,"February 14 : Polish–Soviet War begins.
","['Soviet War', 'Polish']"
143,"March 2 : Communist International established in the Kremlin to coordinate Communist parties worldwide.
April 11 : The International Labour Organization is established.
April 13 : The Jallianwala Bagh massacre in northern India: Acting Brigadier-General Reginald Dyer orders troops of the British Indian Army to fire their rifles into a crowd of unarmed Indian civilians, killing from 379 to 1,000 people and injuring another 1,500.
","['Communist', 'Indian', 'India']"
146,"July : The 1919 Egyptian revolution erupts.
July 18 : End of Polish–Ukrainian War .
","['Egyptian', 'Polish']"
